#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-03-27T05:34:20 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ56f756f90325 
#INFO -out.max=1000 
#INFO queryParameters=30 
#-oc.form=dec
#-out.max=1000
#-order=I
#-nav=cat:J/A+A/559/A43&tab:{J/A+A/559/A43/table6}&key:source=J/A+A/559/A43&HTTPPRM:&&-ref=VIZ56f756f90325&-out.max=1000&-out.form=ascii table&-order=I&-oc.form=dec&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=J/A+A/559/A43/table6&-out=Seq&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=plx&-out=rc&-out=RV&-out=Vpar&-out=Vperp&-out=M&-out=Jmag&-out=Hmag&-out=Kmag&-out=W1mag&-out=W2mag&-out=Src&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-order=I
#-order=I
#-out.src=J/A+A/559/A43/table6
#-source=J/A+A/559/A43/table6
#-order=I
#-out=Seq
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=plx
#-out=rc
#-out=RV
#-out=Vpar
#-out=Vperp
#-out=M
#-out=Jmag
#-out=Hmag
#-out=Kmag
#-out=W1mag
#-out=W2mag
#-out=Src
#
#
#RESOURCE=yCat_35590043
#Name: J/A+A/559/A43
#Title: Pan-STARRS1 (PS1) observations of the Hyades (Goldman+, 2013)
#Coosys J2000_2000.000: eq_FK5 J2000    
#Table J_A_A_559_A43_table6:
#Name: J/A+A/559/A43/table6
#Title: Photometric and kinematic parameters for 773 Hyades member candidates
#---Details of Columns:
#    Seq           (I8)    Identifier (Seq<=724 ix from Roeser et al. 2011, J/A+A/531/A92) [ucd=meta.id]
#    RAJ2000 (deg) (F11.7) PPMXL Right Ascension (J2000.0, epoch 2000.0) [ucd=pos.eq.ra;meta.main]
#    DEJ2000 (deg) (F11.7) PPMXL Declination (J2000.0, epoch 2000.0) [ucd=pos.eq.dec;meta.main]
#    pmRA (mas/yr) (F6.2)  PPMXL Proper Motion in RA*cos(DEdeg) [ucd=pos.pm;pos.eq.ra]
#    pmDE (mas/yr) (F7.2)  PPMXL Proper Motion in Dec [ucd=pos.pm;pos.eq.dec]
#    plx (mas)     (F5.2)  Secular parallax [ucd=pos.parallax]
#    rc (pc)       (F5.2)  [0/30] Distance from the cluster centre [ucd=phys.size.radius]
#    RV (km/s)     (F5.2)  [16/46] Predicted radial velocity [ucd=phys.veloc;pos.heliocentric]
#    Vpar (km/s)   (F5.2)  [5/43] Tangential velocity in direction of the convergent point [ucd=phys.veloc.transverse]
#    Vperp (km/s)  (F5.2)  [-5/4] Tangential velocity in direction perpendicular to the convergent point [ucd=phys.veloc.transverse]
#    M (Msun)      (F5.2)  [0.09/2.6] Mass of the star [ucd=phys.mass]
#    Jmag (mag)    (F6.3)  2MASS J band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.J]
#    Hmag (mag)    (F6.3)  2MASS H band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.H]
#    Kmag (mag)    (F6.3)  2MASS Ks band magnitude (as in PPMXL) [ucd=phot.mag;em.IR.K]
#    W1mag (mag)   (F6.3)  ? WISE W1-band magnitude (3.3um) [ucd=phot.mag;em.IR.3-4um]
#    W2mag (mag)   (F6.3)  ? WISE W2-band magnitude (4.6um) [ucd=phot.mag;em.IR.4-8um]
#    Src           (A1)    [0,1] Origin of source: 1=from this paper, 0=from Roeser et al. 2011 (J/A+A/531/A92) [ucd=meta.ref;pos.frame]
#-------- ----------- ----------- ------ ------- ----- ----- ----- ----- ----- ----- ------ ------ ------ ------ ------ -
#                                 p                                V     Vp                                             S
#         RA          DE          mRA (m pmDE (  plx   rc    RV (  par ( erp ( M (   Jmag   Hmag   Kmag   W1mag  W2mag  r
#Seq      J2000 (deg) J2000 (deg) as/yr) mas/yr) (mas) (pc)  km/s) km/s) km/s) Msun) (mag)  (mag)  (mag)  (mag)  (mag)  c
#-------- ----------- ----------- ------ ------- ----- ----- ----- ----- ----- ----- ------ ------ ------ ------ ------ -
#    Seq RAJ2000    DEJ2000     pmRA      pmDE plx    rc    RV   Vpar  Vperp Mass  Jmag    Hmag   Kmag  W1mag   W2mag  src
     135 061.4367717 +38.2481147 139.44  -75.62 23.04 17.44 31.73 32.45  3.43  0.33 10.837 10.210  9.954  9.771  9.598 0
     136 061.5093494 +18.2508953 142.24  -32.04 25.16  7.80 36.14 27.46  0.41  0.53  9.488  8.820  8.598  8.448  8.401 0
     137 061.5671978 +15.6981175 118.45  -20.70 21.04  4.59 36.41 27.10  0.16  1.17  6.753  6.532  6.446  6.375  6.423 0
     138 061.5859997 +19.0274961 115.34  -28.53 20.45  5.41 36.08 27.54  0.33  0.29 11.341 10.756 10.471 10.266 10.094 0
     139 061.6443061 +13.5490758 113.06  -13.57 20.11  6.16 36.60 26.84  0.27  0.53  9.982  9.258  9.091  8.909  8.856 0
     140 061.7551106 +15.3350275 126.04  -20.70 22.47  4.60 36.53 26.94  0.25  0.77  8.365  7.811  7.665  7.617  7.692 0
     141 061.7635211 +20.2808156 165.48  -45.49 29.42 13.07 36.00 27.65  0.44  0.18 11.450 10.858 10.556 10.347 10.160 0
     142 061.8915478 +12.1880903  77.97   -9.73 14.01 25.98 36.79 26.59 -0.68  0.18 13.092 12.515 12.200 11.987 11.789 0
     143 061.9249308 +15.1627850 127.73  -23.86 22.96  4.94 36.62 26.82 -0.40  1.56  5.244  5.055  5.030  4.886  4.584 0
     144 061.9299994 +16.5187883 123.86  -25.56 22.22  4.18 36.50 26.98 -0.06  0.82  8.105  7.599  7.511  7.480  7.545 0
     145 062.0462242 +16.8730842 133.21  -23.02 23.76  5.65 36.52 26.95  1.06  0.67  8.766  8.106  7.933  7.826  7.883 0
     146 062.0770419 +13.5238747 100.04   -5.85 17.83 11.04 36.80 26.57  1.96  1.07  7.185  6.749  6.645  6.571  6.668 0
     147 062.1111058 +12.1918408 115.99  -12.97 20.92  5.63 36.89 26.45 -0.30  0.71  8.818  8.171  8.046  7.928  8.013 0
     148 062.1508750 +23.7686042 119.96  -45.66 21.63  6.82 35.62 28.13 -0.01  0.89  7.840  7.441  7.323  7.279  7.332 0
     149 062.1674008 +23.5571169 117.90  -46.88 21.42  6.71 35.67 28.07 -0.54  0.61  9.380  8.792  8.529  8.273  8.205 0
     150 062.2265308 +29.1906631  83.60  -40.06 14.92 24.35 34.55 29.44  0.69  1.24  7.125  6.856  6.768  6.747  6.791 0
     151 062.3338647 +08.1288075  83.18   -9.75 15.07 22.15 37.08 26.17 -3.03  0.81  8.964  8.498  8.388  8.263  8.312 0
     152 062.4556239 +09.3054983 155.78   -2.77 28.29 12.57 37.13 26.11  0.34  0.75  7.912  7.340  7.264  7.141  7.231 0
     153 062.4879833 +16.3782553 155.47  -33.08 28.30 11.44 36.76 26.62 -0.17  0.14 12.085 11.464 11.154 10.978 10.765 0
     154 062.6699767 +14.7335972 118.12  -15.57 21.45  3.83 36.98 26.32  0.91  0.17 12.388 11.795 11.421 11.197 10.973 0
     155 062.6765167 +18.4232528 123.34  -31.39 22.51  4.07 36.63 26.81  0.10  1.41  5.795  5.625  5.572  5.511  5.377 0
     156 062.6806097 +32.9347003 149.81  -79.18 26.45 14.85 33.78 30.32  1.73  0.53  9.313  8.612  8.471  8.353  8.388 0
     157 062.7365444 +27.4875653 115.12  -62.68 21.60  9.29 35.14 28.73 -1.50  0.39 10.594 10.018  9.750  9.559  9.406 0
     158 062.7755464 +18.9291083 110.08  -31.31 20.22  5.01 36.61 26.83 -0.30  0.32 11.145 10.573 10.292 10.105  9.941 0
     159 062.8345067 +05.5230494 146.55    5.83 26.83 12.53 37.27 25.90 -0.60  1.56  5.062  4.995  4.821  4.805  4.568 0
     160 062.8651811 +15.9921458 121.00  -19.24 22.03  3.43 36.96 26.35  1.05  0.35 10.807 10.236  9.941  9.784  9.639 0
     161 062.9842572 +23.6363228 137.72  -56.36 25.51  9.24 35.99 27.65 -0.44  1.05  7.148  6.563  6.409  6.189  6.265 0
     162 063.0140025 +20.8313203 135.81  -44.47 25.05  7.69 36.45 27.04 -0.12  0.18 11.732 11.149 10.885 10.658 10.467 0
     163 063.0317025 +17.6261411 127.91  -33.60 23.68  5.14 36.87 26.47 -0.49  0.41 10.275  9.690  9.414  9.199  9.039 0
     164 063.0573556 -01.5652122 121.90   48.39 23.27 14.89 36.89 26.45  3.74  0.20 11.720 11.170 10.911 10.711 10.504 0
     165 063.0905489 +16.2509378 149.79  -31.46 27.65 10.54 37.03 26.24 -0.02  0.45  9.736  9.095  8.867  8.707  8.560 0
     166 063.1973328 +22.3908322 118.27  -45.80 22.05  5.50 36.29 27.26 -0.56  0.31 11.061 10.497 10.165  9.761  9.606 0
     167 063.2080256 +11.2462378 138.58   -5.97 25.57  8.75 37.41 25.70  1.03  0.15 12.129 11.495 11.234 11.017 10.831 0
     168 063.2291597 -05.3012892 129.51   28.14 23.12 17.62 36.48 27.01 -3.00  0.30 10.943 10.396 10.123  9.952  9.773 0
     169 063.2733781 +15.2477775 120.55  -21.09 22.31  3.49 37.20 26.01  0.27  0.27 11.303 10.732 10.444 10.273 10.085 0
     170 063.4681628 +15.3650033 122.76  -27.21 23.00  4.10 37.27 25.90 -0.78  0.38 10.541  9.975  9.700  9.468  9.290 0
     171 063.4757367 +15.8357822 133.19   -9.27 24.18  5.68 37.24 25.95  3.40  0.15 12.165 11.616 11.347 11.126 10.910 0
     172 063.6068778 +14.6250347 106.63  -19.78 19.98  4.99 37.39 25.73 -0.32  1.07  7.216  6.916  6.825  6.769  6.788 0
     173 063.6101572 +05.1805714  88.12   13.18 16.57 17.87 37.61 25.42  1.96  1.03  7.934  7.520  7.425  7.387  7.460 0
     174 063.6135644 +12.4353178 116.40  -11.76 21.73  4.40 37.54 25.52  0.38  1.11  6.856  6.607  6.534  6.498  6.547 0
     175 063.6243069 +18.7300239 107.54  -37.48 20.48  4.07 36.99 26.30 -1.69  0.47 10.294  9.711  9.427  9.287  9.145 0
     176 063.6267536 +22.4518653  96.24  -33.70 17.87 11.27 36.46 27.04  0.53  1.43  6.207  6.082  6.005  6.040  5.960 0
     177 063.6346511 +23.5749439 122.54  -48.72 22.91  6.53 36.27 27.29  0.07  1.09  6.877  6.599  6.516  6.510  6.517 0
     178 063.6430847 +10.7013808 118.63   -7.88 22.19  5.63 37.62 25.39  0.13  1.30  6.128  5.915  5.862  5.832  5.784 0
     179 063.6884144 +19.0639592  93.59  -37.29 18.05  9.73 36.98 26.32 -2.63  0.26 11.882 11.259 10.984 10.824 10.635 0
     180 063.7092542 +24.3770636 104.74  -45.11 19.70  8.30 36.15 27.44 -0.21  0.17 12.479 11.903 11.593 11.396 11.206 0
     181 063.7163839 +13.0549536 112.83  -18.61 21.25  4.07 37.55 25.50 -0.80  0.80  8.445  7.828  7.688  7.599  7.659 0
     182 063.7230172 +27.7577636 233.98 -119.11 43.94 24.45 35.47 28.32 -0.08  0.44  8.763  8.146  7.901  7.795  7.675 0
     183 063.7797925 -11.5376453 124.90   42.79 22.00 22.56 35.57 28.20 -3.75  0.70  8.903  8.261  8.004  7.880  7.951 0
     184 063.7933828 +14.3984625 119.67  -15.19 22.33  3.50 37.49 25.59  1.04  0.66  8.947  8.294  8.128  8.061  8.138 0
     185 063.8857144 +20.8075942 130.36  -42.12 24.47  6.70 36.82 26.54  0.27  0.18 11.960 11.336 11.008 10.780 10.591 0
     186 063.8903683 +15.7062700 121.33  -21.97 22.75  3.49 37.42 25.68  0.55  0.72  8.558  7.982  7.853  7.764  7.845 0
     187 063.8937550 +19.5999044 213.01  -47.32 39.21 20.99 36.99 26.30  2.01  0.19 10.787 10.215  9.911  9.725  9.538 0
     188 063.8951767 +16.7623922 106.45  -27.85 20.19  4.11 37.33 25.83 -0.76  0.34 11.050 10.472 10.215 10.078  9.923 0
     189 063.9268219 +20.8197944 110.26  -36.43 20.76  4.59 36.83 26.52  0.12  1.18  6.537  6.257  6.190  6.176  6.146 0
     190 063.9428522 +15.4006958 115.78  -21.72 21.80  2.71 37.47 25.61  0.20  1.52  5.514  5.401  5.326  5.353  5.162 0
     191 063.9882131 +46.7266647 135.62 -134.19 26.19 23.33 29.47 34.52 -0.81  0.19 11.583 11.049 10.752 10.526 10.345 0
     192 064.0060372 +16.9831039 117.32  -36.91 22.55  3.07 37.35 25.79 -1.85  0.34 10.806 10.196  9.916  9.776  9.629 0
     193 064.0149531 +18.8592111 113.78  -33.94 21.57  2.95 37.14 26.09 -0.29  0.45 10.247  9.654  9.410  9.272  9.180 0
     195 064.0546750 +18.8845006 119.59  -33.59 22.58  3.53 37.15 26.08  0.16  0.63  9.062  8.448  8.268  8.156  8.196 0
     196 064.0564439 +16.7966739  94.00  -12.00 17.37 11.56 37.39 25.73  2.64  0.24 12.058 11.472 11.156 10.943 10.768 0
     197 064.1059031 +14.1714417 136.58  -19.61 25.78  8.06 37.64 25.37  0.53  0.28 10.925 10.321 10.049  9.905  9.717 0
     198 064.1394914 +21.9074708 105.16  -37.15 19.85  6.41 36.75 26.63  0.31  0.95  7.701  7.376  7.275  7.206  7.265 0
     199 064.1672492 +07.8478469  91.51  -11.31 17.36 14.05 37.89 24.99 -3.12  0.50 10.425  9.913  9.597  9.274  9.210 0
     200 064.1804164 +16.8222108  97.36  -29.97 18.78  7.34 37.44 25.66 -1.73  0.35 11.161 10.565 10.275 10.084  9.922 0
     201 064.2269406 +16.3569278 110.97  -29.30 21.27  2.37 37.50 25.56 -0.97  0.42 10.434  9.813  9.585  9.423  9.326 0
     202 064.3547931 +19.0299111 112.54  -30.47 21.31  2.91 37.26 25.92  0.59  0.74  8.597  7.994  7.909  7.807  7.885 0
     203 064.3672347 +14.9010447 103.22  -25.07 19.89  4.78 37.69 25.29 -1.36  0.44 10.471  9.869  9.621  9.457  9.334 0
     204 064.3799028 +30.6990317 131.69  -61.96 23.78 11.72 35.01 28.89  2.76  0.30 10.920 10.345 10.071  9.896  9.747 0
     205 064.4122553 +16.9478589 112.53  -21.36 21.24  2.25 37.52 25.54  1.26  1.07  6.865  6.486  6.397  6.365  6.300 0
     206 064.4154503 +12.4148461 120.39  -17.78 23.06  4.93 37.88 25.01 -0.65  0.34 10.746 10.136  9.868  9.681  9.492 0
     207 064.4487214 +13.6617756 106.91  -19.84 20.53  4.08 37.82 25.10 -0.76  0.62  9.405  8.720  8.527  8.377  8.372 0
     208 064.4609722 +18.4751875 111.07  -34.92 21.42  2.52 37.37 25.76 -0.76  0.52  9.841  9.246  8.992  8.830  8.706 0
     209 064.4650981 +15.2271406 100.12  -26.98 19.41  5.76 37.71 25.26 -1.76  0.33 11.224 10.638 10.365 10.189 10.051 0
     210 064.4815275 +14.5462528  99.11  -20.60 19.06  6.78 37.77 25.17 -0.72  0.39 10.871 10.276 10.017  9.876  9.745 0
     211 064.5076614 +18.2568053 115.29  -31.07 22.03  2.51 37.41 25.70  0.18  1.21  6.279  6.032  5.950  5.871  5.859 0
     212 064.5356439 +13.3312803 111.15  -16.61 21.30  3.46 37.88 25.01 -0.07  0.47 10.288  9.698  9.352  9.180  9.019 0
     213 064.5375242 +17.4162569 109.69  -31.31 21.17  2.28 37.52 25.54 -0.72  0.24 11.647 11.083 10.759 10.578 10.404 0
     214 064.5449528 +23.2846514  92.02  -38.77 17.71 11.91 36.68 26.73 -0.28  1.13  7.585  7.077  6.937  6.813  6.873 0
     215 064.5541353 +16.0981189 103.39  -25.75 19.94  4.38 37.67 25.33 -0.69  0.27 11.583 10.970 10.704 10.552 10.373 0
     216 064.5803008 +16.0883419 119.68  -19.22 22.67  2.97 37.68 25.31  1.46  0.86  7.880  7.423  7.322  7.266  7.342 0
     217 064.5916389 +17.4216408 121.18  -40.70 23.70  4.56 37.55 25.50 -1.88  0.88  7.840  7.300  7.162  7.081  7.091 0
     218 064.5966711 +21.5792947  94.88  -34.88 18.22  9.79 36.99 26.30 -0.05  1.89  5.058  4.936  4.903  4.916  4.632 0
     219 064.6067717 +20.7071222  69.29  -30.71 13.71 27.02 37.13 26.11 -2.28  0.21 12.782 12.191 11.930 11.725 11.548 0
     220 064.6410175 +18.3647153 114.22  -41.37 22.40  2.84 37.46 25.63 -1.88  0.24 11.490 10.922 10.601 10.436 10.268 0
     221 064.6760283 +12.5107019 113.32  -14.71 21.80  3.90 37.98 24.85 -0.11  0.31 11.062 10.480 10.205 10.042  9.872 0
     222 064.6810239 +03.2549203 139.26    8.24 26.57 13.21 37.99 24.84 -1.60  0.14 12.183 11.614 11.285 11.067 10.872 0
     223 064.6959894 +13.3663147 112.74  -20.20 21.79  3.31 37.94 24.91 -0.74  0.64  9.121  8.481  8.300  8.186  8.230 0
     224 064.7324617 +09.3963472 111.90   -3.60 21.54  6.20 38.12 24.64  0.24  0.25 11.522 10.884 10.621 10.430 10.249 0
     225 064.7415653 +19.9067017 114.59  -36.40 22.03  3.26 37.30 25.87  0.14  1.01  7.286  7.000  6.921  6.842  6.915 0
     226 064.7629067 +19.5443092 123.43  -42.73 24.01  5.43 37.36 25.78 -0.74  0.31 10.904 10.291 10.009  9.876  9.704 0
     227 064.7833678 +17.5247503 113.59  -29.40 21.89  2.01 37.61 25.41  0.05  1.04  7.134  6.872  6.787  6.729  6.784 0
     228 064.8741064 +21.7538844 103.24  -40.65 20.08  5.74 37.07 26.19 -0.44  0.51 10.106  9.442  9.222  9.077  8.960 0
     229 064.9483494 +15.6276431 115.48  -23.42 22.33  2.42 37.87 25.02  0.22  2.60  1.963  1.496  1.518  1.200  1.365 0
     230 064.9785717 +16.5225914 119.41  -35.46 23.46  4.04 37.80 25.13 -1.42  1.33  5.820  5.588  5.542  5.474  5.372 0
     231 064.9904314 +14.0352000 114.14  -20.46 22.17  2.96 38.02 24.79 -0.24  1.74  5.002  4.927  4.853  4.853  4.482 0
     232 065.0441067 -14.7610000 176.79  113.26 34.92 26.55 35.33 28.49  0.79  0.74  7.554  6.976  6.832  6.735  6.853 0
     233 065.0540306 +19.2334792 115.67  -34.43 22.39  3.03 37.51 25.55  0.30  1.22  6.395  6.184  6.124  6.092  6.086 0
     234 065.1046211 +18.7426081 118.89  -48.37 23.82  4.85 37.60 25.43 -2.47  1.52  5.343  5.209  5.160  5.124  4.859 0
     235 065.1151014 +18.8971956 109.16  -48.59 22.08  2.54 37.58 25.45 -3.21  0.31 11.063 10.483 10.215  9.899  9.825 0
     236 065.1224519 +21.3787019  96.15  -38.82 18.93  7.82 37.23 25.96 -0.79  0.38 11.018 10.410 10.127  9.969  9.802 0
     237 065.1512936 +15.0954514 108.59  -21.47 21.14  2.24 38.00 24.82  0.04  1.91  4.750  4.973  4.689  4.742  4.374 0
     238 065.2196675 +13.8644269 104.26  -18.07 20.37  3.94 38.13 24.63 -0.16  1.61  5.286  5.155  5.062  5.034  4.795 0
     239 065.2526483 +24.5188308 109.32  -51.82 21.51  6.48 36.73 26.66 -0.43  0.37 10.786 10.129  9.888  9.719  9.585 0
     240 065.2671250 +03.2687678 136.75   16.13 26.70 13.25 38.24 24.45 -0.17  0.83  7.655  7.169  7.068  6.971  7.047 0
     242 065.3323417 +12.0438989 110.76  -10.93 21.63  4.01 38.28 24.38  0.45  0.27 11.361 10.754 10.483 10.307 10.106 0
     243 065.3477144 +10.8672447  93.00  -11.29 18.27  9.97 38.34 24.30 -0.88  0.38 11.049 10.453 10.190 10.041  9.842 0
     244 065.3818728 +21.0398783 105.52  -35.54 20.50  4.54 37.39 25.74  0.62  1.42  5.970  5.786  5.762  5.748  5.643 0
     245 065.3844506 +18.4175811 110.27  -32.27 21.61  1.91 37.75 25.20  0.00  1.38  5.944  5.794  5.746  5.664  5.585 0
     246 065.3949794 +14.4097878 104.45  -19.66 20.50  3.40 38.16 24.58 -0.12  1.47  5.784  5.666  5.595  5.689  5.430 0
     247 065.3962106 +14.6952283 104.22  -25.48 20.64  3.03 38.14 24.61 -1.26  0.29 11.296 10.686 10.441 10.274 10.101 0
     249 065.4096422 +20.3028306 130.77  -47.18 25.78  8.08 37.51 25.56 -0.37  0.20 11.510 10.901 10.629 10.437 10.239 0
     250 065.4713269 +24.2404700 110.20  -39.40 20.89  6.49 36.87 26.47  2.14  0.41 10.587 10.006  9.739  9.559  9.401 0
     251 065.4828147 +23.4182933 135.33  -66.00 27.16 10.73 37.03 26.25 -1.26  0.44  9.885  9.224  8.982  8.805  8.741 0
     252 065.5146575 +14.0771972 113.20  -21.93 22.34  2.89 38.23 24.46 -0.44  1.69  5.052  5.016  4.960  4.919  4.691 0
     253 065.6043208 +03.6189547 139.46   31.10 27.84 14.00 38.40 24.20  2.52  0.42  9.857  9.259  9.002  8.874  8.729 0
     254 065.6070456 +11.3057092 118.68  -12.30 23.42  5.66 38.43 24.15 -0.12  0.94  7.620  7.135  6.948  6.883  6.948 0
     255 065.6251508 +10.4346117 103.49   -6.94 20.41  5.98 38.47 24.09  0.18  0.60  9.511  8.847  8.639  8.530  8.529 0
     256 065.6272361 +15.2202386  94.52  -19.63 18.65  7.50 38.19 24.54  0.00  0.42 10.775 10.138  9.912  9.750  9.641 0
     257 065.6648364 +18.2693281 137.87  -39.79 27.21  9.70 37.88 25.00  0.09  0.48  9.605  8.971  8.726  8.591  8.538 0
     258 065.6785919 +20.5701428 102.11  -46.00 20.78  3.82 37.57 25.46 -2.08  0.44 10.458  9.834  9.573  9.406  9.254 0
     259 065.6840472 +15.0560892 111.99  -20.97 22.06  2.00 38.22 24.48  0.39  1.31  5.869  5.640  5.558  5.486  5.373 0
     260 065.6865053 +16.7909428 139.95  -32.63 27.54 10.07 38.06 24.73  0.44  1.06  6.575  6.326  6.203  6.184  6.179 0
     261 065.7337189 +17.5425136 106.58  -29.17 21.10  1.65 37.99 24.83 -0.01  2.60  2.094  1.579  1.643  0.993  1.739 0
     262 065.7496356 +13.3162622  90.81  -14.43 17.99  9.80 38.38 24.23 -0.07  0.54 10.122  9.467  9.251  9.119  9.066 0
     263 065.7562667 +15.2282208 107.45  -22.37 21.27  1.74 38.24 24.46  0.03  0.20 12.023 11.419 11.119 10.948 10.780 0
     264 065.7974033 +21.0589517 102.35  -37.44 20.26  4.84 37.55 25.50  0.12  0.34 11.048 10.453 10.162 10.010  9.850 0
     265 065.8020147 +15.7128667 110.11  -26.87 21.93  1.48 38.21 24.50 -0.48  0.29 11.241 10.632 10.356 10.208 10.034 0
     266 065.8430414 +21.3790972  99.25  -38.28 19.74  5.95 37.51 25.55 -0.11  1.01  7.531  7.197  7.121  7.048  7.089 0
     267 065.8452103 +19.6586736  99.40  -33.75 19.77  5.02 37.77 25.17 -0.14  0.99  7.722  7.281  7.151  7.077  7.119 0
     268 065.8492458 +14.4279525 104.59  -20.83 20.81  2.74 38.34 24.29 -0.26  0.43 10.472  9.894  9.630  9.417  9.265 0
     269 065.8544253 +16.7772583 104.58  -28.27 20.85  1.90 38.13 24.63 -0.38  1.77  5.040  5.009  4.945  4.908  4.575 0
     270 065.8553339 +15.7631131 124.45  -30.46 24.82  6.15 38.23 24.47 -0.45  0.76  8.193  7.647  7.494  7.412  7.475 0
     271 065.8766700 +24.4054033  93.62  -44.54 18.69  9.86 36.99 26.30 -0.26  1.37  6.285  6.141  6.092  6.071  6.013 0
     272 065.8847128 +14.6704769 105.56  -18.56 20.90  2.45 38.34 24.30  0.45  0.96  7.611  7.255  7.145  7.120  7.154 0
     273 065.9289922 +15.8809242 116.80  -31.41 23.44  3.84 38.25 24.44 -0.91  0.34 10.693 10.102  9.861  9.689  9.569 0
     274 065.9598286 +14.9215181 115.13  -28.02 23.11  3.48 38.35 24.29 -0.94  0.59  9.293  8.718  8.454  8.324  8.202 0
     275 065.9613011 +09.2054147 102.28   -7.31 20.40  6.86 38.64 23.82 -0.71  0.68  9.117  8.481  8.226  8.142  8.042 0
     276 065.9767150 +14.0521117 114.16  -15.62 22.58  3.06 38.42 24.17  0.98  0.74  8.506  7.925  7.786  7.692  7.756 0
     277 065.9861494 +18.6389281  88.07  -26.85 17.54 10.86 37.96 24.88  0.05  0.20 12.353 11.772 11.494 11.280 11.098 0
     278 065.9891969 +22.1816033 119.83  -44.03 23.57  5.82 37.44 25.66  0.85  0.32 10.867 10.253  9.999  9.841  9.682 0
     279 065.9963992 +16.7215783 109.21  -28.19 21.80  0.97 38.19 24.53 -0.10  0.59  9.421  8.787  8.561  8.447  8.443 0
     280 065.9979414 +11.3830197  88.01   -7.77 17.52 11.79 38.59 23.90  0.36  0.39 11.091 10.522 10.201 10.066  9.936 0
     281 066.0239994 +17.4441275 108.17  -34.66 21.84  1.15 38.12 24.64 -1.04  2.07  4.561  4.513  4.414  4.362  3.906 0
     282 066.0309447 +22.1188697 111.51  -44.97 22.25  4.59 37.47 25.62  0.02  0.72  8.627  8.066  7.886  7.812  7.895 0
     283 066.0391400 +15.0876117 175.04  -66.39 36.13 18.69 38.36 24.26 -3.84  0.26 10.303  9.755  9.472  9.277  9.083 0
     284 066.0519381 +14.7582269 109.88  -21.96 21.94  1.92 38.40 24.21 -0.02  1.20  6.357  6.105  6.007  5.965  5.913 0
     285 066.0532711 +16.3789344  90.73  -20.21 18.03  9.19 38.25 24.44  0.51  1.16  7.081  6.883  6.797  6.766  6.787 0
     286 066.0607261 +21.7362447 118.21  -46.30 23.59  5.58 37.54 25.51  0.06  1.26  6.148  5.946  5.871  5.843  5.813 0
     287 066.0641053 +12.2472856 101.50  -14.63 20.32  4.78 38.57 23.93 -0.37  0.25 11.632 11.014 10.778 10.589 10.409 0
     288 066.0705817 +18.0029094 110.58  -35.20 22.26  1.91 38.07 24.71 -0.62  0.82  8.154  7.636  7.524  7.438  7.519 0
     289 066.0768125 +38.4267169 101.38 -103.26 22.11 17.30 33.28 30.87 -3.11  0.17 12.141 11.554 11.277 11.098 10.917 0
     290 066.0872586 +19.1807625 105.87  -44.52 21.76  2.17 37.93 24.93 -2.12  0.19 12.029 11.423 11.133 10.958 10.771 0
     291 066.0927975 +17.0789525  97.03  -27.54 19.49  5.06 38.19 24.53 -0.43  1.40  6.059  5.935  5.892  5.813  5.769 0
     292 066.1177656 +15.8842908 107.60  -26.40 21.59  1.02 38.32 24.32 -0.31  0.36 10.765 10.184  9.897  9.704  9.575 0
     293 066.1180189 +16.8861669 110.33  -24.51 21.87  0.99 38.22 24.48  0.87  1.16  6.655  6.397  6.290  6.247  6.221 0
     294 066.1274450 +18.9869281 108.01  -35.84 21.69  2.00 37.97 24.86 -0.29  0.23 11.645 11.075 10.776 10.547 10.389 0
     295 066.1313636 +13.9286197 110.13  -19.46 22.04  2.55 38.49 24.05  0.00  0.20 11.901 11.324 11.055 10.845 10.675 0
     296 066.1599653 +15.9096261  74.53  -23.42 15.20 19.51 38.34 24.30 -1.84  0.40 11.335 10.671 10.447 10.279 10.183 0
     297 066.1801036 +04.6999422  98.01   -2.48 19.45 11.43 38.68 23.74 -2.66  1.00  7.563  7.209  7.032  6.773  6.955 0
     298 066.1833917 +10.7720442 101.16  -19.08 20.45  5.60 38.69 23.74 -2.37  0.46 10.304  9.656  9.468  9.307  9.209 0
     299 066.2002136 +15.8747064  97.36  -30.78 19.88  4.08 38.36 24.27 -1.89  0.79  8.716  8.065  7.852  7.750  7.744 0
     300 066.2380308 +19.0420086 109.69  -34.50 21.97  2.14 38.01 24.81  0.17  1.61  5.168  5.044  4.984  4.963  4.632 0
