#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-03-24T00:15:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56f32fff0810	
#INFO	-out.max=9999	
#INFO	queryParameters=49	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/A+A/559/A43&tab:{J/A+A/559/A43/table6}&key:source=J/A+A/559/A43&HTTPPRM:&&-ref=VIZ56f32fff0810&-file=.&-oc.form=sexa&-out.form=verb&-c.r=  2&-c.geom=r&-order=I&-out=Seq&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=plx&-out=rc&-out=RV&-out=Vpar&-out=Vperp&-out=M&-out=gmed&-out=rmed&-out=imed&-out=zmed&-out=ymed&-out=Jmag&-out=Kmag&-out=W1mag&-out=W2mag&-out=Src&-out=XV&-ignore=XV=*&XV=XV&-out=Sloan&Sloan=Sloan&-meta.ucd=2&-meta=1&-meta.foot=1&-meta.form=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/559/A43/table6
#-order=I
#-out=Seq
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=plx
#-out=rc
#-out=RV
#-out=Vpar
#-out=Vperp
#-out=M
#-out=gmed
#-out=rmed
#-out=gmag
#-out=e_gmag
#-out=rmag
#-out=e_rmag
#-out=imag
#-out=e_imag
#-out=zmag
#-out=e_zmag
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#-out=W1mag
#-out=e_W1mag
#-out=W2mag
#-out=e_W2mag
#-out=W3mag
#-out=e_W3mag
#-out=W4mag
#-out=e_W4mag
#-out=Src
#-out=XV
#XV=XV
#-out=Sloan
#Sloan=Sloan
#
#
#RESOURCE=yCat_35590043
#Name: J/A+A/559/A43
#Title: Pan-STARRS1 (PS1) observations of the Hyades (Goldman+, 2013)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_559_A43_table6:
#Name: J/A+A/559/A43/table6
#Title: Photometric and kinematic parameters for 773 Hyades member candidates
#Column	Seq	(I8)	Identifier (Seq<=724 ix from Roeser et al. 2011, J/A+A/531/A92)	[ucd=meta.id]
#Column	RAJ2000	(F11.7)	PPMXL Right Ascension (J2000.0, epoch 2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	PPMXL Declination (J2000.0, epoch 2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F6.2)	PPMXL Proper Motion in RA*cos(DEdeg)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	PPMXL Proper Motion in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	plx	(F5.2)	Secular parallax	[ucd=pos.parallax]
#Column	rc	(F5.2)	[0/30] Distance from the cluster centre	[ucd=phys.size.radius]
#Column	RV	(F5.2)	[16/46] Predicted radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Vpar	(F5.2)	[5/43] Tangential velocity in direction of the convergent point	[ucd=phys.veloc.transverse]
#Column	Vperp	(F5.2)	[-5/4] Tangential velocity in direction perpendicular to the convergent point	[ucd=phys.veloc.transverse]
#Column	M	(F5.2)	[0.09/2.6] Mass of the star	[ucd=phys.mass]
#Column	gmed	(F6.3)	? PS1 PSF median magnitude in g band	[ucd=phot.mag;em.opt.B]
#Column	rmed	(F6.3)	? PS1 PSF median magnitude in r band	[ucd=phot.mag;em.opt.R]
#Column	gmag	(F6.3)	? SDSS g-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.B]
#Column	e_gmag	(F6.3)	? Error of gmag	[ucd=stat.error;phot.mag;em.opt.B]
#Column	rmag	(F6.3)	? SDSS r-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.R]
#Column	e_rmag	(F6.3)	? Error of rmag	[ucd=stat.error;phot.mag;em.opt.R]
#Column	imag	(F6.3)	? SDSS i-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.I]
#Column	e_imag	(F6.3)	? Error of imag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	zmag	(F6.3)	? SDSS z-band magnitude (SDSS-DR8)	[ucd=phot.mag;em.opt.I]
#Column	e_zmag	(F6.3)	? Error of zmag	[ucd=stat.error;phot.mag;em.opt.I]
#Column	Jmag	(F6.3)	2MASS J band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.J]
#Column	e_Jmag	(F6.3)	Error of Jmag	[ucd=stat.error;phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	2MASS H band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.H]
#Column	e_Hmag	(F6.3)	Error of Hmag	[ucd=stat.error;phot.mag;em.IR.H]
#Column	Kmag	(F6.3)	2MASS Ks band magnitude (as in PPMXL)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F6.3)	Error of Kmag	[ucd=stat.error;phot.mag;em.IR.K]
#Column	W1mag	(F6.3)	? WISE W1-band magnitude (3.3um)	[ucd=phot.mag;em.IR.3-4um]
#Column	e_W1mag	(F6.3)	? Error of W1mag	[ucd=stat.error;phot.mag]
#Column	W2mag	(F6.3)	? WISE W2-band magnitude (4.6um)	[ucd=phot.mag;em.IR.4-8um]
#Column	e_W2mag	(F6.3)	? Error of W2mag	[ucd=stat.error;phot.mag]
#Column	W3mag	(F6.3)	? WISE W3-band magnitude (11.6um)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	e_W3mag	(F6.3)	? Error of W3mag	[ucd=stat.error;phot.mag]
#Column	W4mag	(F6.3)	? WISE W4-band magnitude (22.1um)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	e_W4mag	(F6.3)	? Error of W4mag	[ucd=stat.error;phot.mag]
#Column	Src	(A1)	[0,1] Origin of source: 1=from this paper, 0=from Roeser et al. 2011 (J/A+A/531/A92)	[ucd=meta.ref;pos.frame]
#Column	XV	(A2)	Retrieve data on this star across all VizieR (within 5arcsec)	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the SDSS data for this source	[ucd=meta.ref.url]
#Seq	RAJ2000	DEJ2000	pmRA	pmDE	plx	rc	RV	Vpar	Vperp	M	gmed	rmed	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	W1mag	e_W1mag	W2mag	e_W2mag	W3mag	e_W3mag	W4mag	e_W4mag	Src	XV	Sloan
# 	deg	deg	mas/yr	mas/yr	mas	pc	km/s	km/s	km/s	Msun	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	 	 	
#--------	-----------	-----------	------	-------	-----	-----	-----	-----	-----	-----	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	------	-	--	-----
#Seq	RAJ2000	DEJ2000	pmRA	pmDE	plx	rc	RV	Vpar	Vperp	M	gmed	rmed	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	W1mag	e_W1mag	W2mag	e_W2mag	W3mag	e_W3mag	W4mag	e_W4mag	Src	XV	Sloan
     390	067.6591450	+22.9080228	 93.72	 -45.66	19.83	 6.66	37.94	24.92	-0.59	 0.66	13.556	14.816	      	      	      	      	      	      	      	      	 9.248	 0.023	 8.579	 0.033	 8.378	 0.024	 8.243	 0.023	 8.167	 0.022	 8.099	 0.024	 8.282	 0.373	0	XV	Sloan
     391	067.6620000	+15.6918775	104.00	 -24.86	21.74	 0.99	38.94	23.32	 0.11	 1.80	      	      	      	      	      	      	      	      	      	      	 5.458	 0.242	 4.967	 0.036	 4.903	 0.023	 4.885	 0.072	 4.612	 0.038	 4.954	 0.014	 4.915	 0.027	0	XV	Sloan
     392	067.6775114	+14.6615242	122.63	 -27.94	25.75	 7.67	39.04	23.15	-0.32	 0.17	17.563	16.253	      	      	      	      	      	      	      	      	11.932	 0.023	11.355	 0.022	11.026	 0.017	10.835	 0.024	10.634	 0.023	10.543	 0.100	 8.907	      	0	XV	Sloan
     393	067.6875222	+22.6300869	 83.09	 -39.01	17.53	11.98	38.00	24.83	-0.39	 0.46	15.434	14.141	      	      	      	      	      	      	      	      	10.624	 0.026	10.013	 0.030	 9.787	 0.018	 9.615	 0.023	 9.480	 0.019	 9.269	 0.043	 7.933	 0.239	0	XV	Sloan
     394	067.6949828	+16.1486964	 97.68	 -22.66	20.33	 2.93	38.91	23.37	 0.58	 1.51	      	      	      	      	      	      	      	      	      	      	 5.627	 0.023	 5.448	 0.026	 5.383	 0.018	 5.334	 0.065	 5.170	 0.029	 5.415	 0.016	 5.368	 0.039	0	XV	Sloan
     395	067.7170194	-01.2130567	128.73	  36.54	27.10	15.97	38.89	23.41	 0.37	 0.20	      	      	16.929	 0.005	15.700	 0.003	13.961	 0.003	13.127	 0.003	11.403	 0.023	10.830	 0.024	10.527	 0.020	10.373	 0.024	10.188	 0.020	10.046	 0.050	 8.588	      	0	XV	Sloan
     396	067.7323706	+24.8381742	106.92	 -54.74	22.39	 6.67	37.59	25.44	 0.08	 0.23	16.816	15.570	16.795	 0.005	15.555	 0.004	13.953	 0.004	13.174	 0.004	11.588	 0.022	10.973	 0.020	10.676	 0.018	10.500	 0.024	10.313	 0.022	10.222	 0.094	 8.576	      	0	XV	Sloan
     397	067.7382153	+10.7517703	103.14	  -9.57	21.63	 4.84	39.30	22.70	 0.06	 1.33	      	      	      	      	      	      	      	      	      	      	 6.139	 0.034	 5.944	 0.029	 5.893	 0.020	 5.931	 0.051	 5.774	 0.025	 5.905	 0.014	 5.836	 0.039	0	XV	Sloan
     398	067.7388811	+12.3037906	113.54	 -17.82	23.86	 5.59	39.23	22.83	-0.32	 0.47	14.604	13.383	      	      	      	      	      	      	      	      	 9.945	 0.021	 9.374	 0.022	 9.085	 0.020	 8.968	 0.023	 8.846	 0.020	 8.685	 0.025	 8.050	 0.231	0	XV	Sloan
     399	067.7958564	+16.3958622	 90.60	 -19.00	18.76	 6.99	38.92	23.35	 1.27	 0.39	15.701	      	      	      	      	      	      	      	      	      	10.895	 0.021	10.281	 0.022	10.037	 0.021	 9.898	 0.023	 9.750	 0.021	 9.616	 0.063	 8.135	      	0	XV	Sloan
     400	067.8026556	+12.4773653	101.82	  -6.32	21.13	 3.65	39.24	22.80	 1.95	 0.18	17.613	16.335	      	      	      	      	      	      	      	      	12.201	 0.022	11.610	 0.022	11.305	 0.023	11.119	 0.023	10.932	 0.021	11.026	 0.137	 8.936	      	0	XV	Sloan
     401	067.8153731	+20.1331558	 98.71	 -44.81	21.27	 2.92	38.45	24.11	-1.54	 1.02	      	      	      	      	      	      	      	      	      	      	 7.259	 0.020	 6.965	 0.063	 6.884	 0.023	 6.810	 0.034	 6.876	 0.018	 6.872	 0.019	 6.949	 0.136	0	XV	Sloan
     402	067.8157022	+10.7042803	106.16	  -8.95	22.30	 5.03	39.33	22.65	 0.23	 0.39	15.698	14.458	      	      	      	      	      	      	      	      	10.535	 0.029	 9.944	 0.033	 9.676	 0.024	 9.404	 0.023	 9.241	 0.020	 9.105	 0.032	 8.143	 0.248	0	XV	Sloan
     403	067.8170028	+12.2001461	105.34	  -7.46	21.94	 3.74	39.27	22.77	 1.56	 0.28	16.453	15.228	      	      	      	      	      	      	      	      	11.298	 0.024	10.704	 0.031	10.401	 0.024	10.244	 0.024	10.066	 0.023	 9.894	 0.060	 8.007	      	0	XV	Sloan
     404	067.8315083	+10.9237742	120.10	 -10.44	25.23	 7.98	39.33	22.65	 0.33	 0.19	17.088	15.805	      	      	      	      	      	      	      	      	11.643	 0.024	11.017	 0.033	10.772	 0.019	10.564	 0.023	10.365	 0.021	10.154	 0.068	 8.900	      	0	XV	Sloan
     405	067.8722781	+13.9034681	 91.34	 -20.14	19.34	 5.93	39.18	22.92	-0.62	 1.22	      	      	      	      	      	      	      	      	      	      	 6.733	 0.020	 6.572	 0.051	 6.455	 0.021	 6.424	 0.042	 6.437	 0.022	 6.475	 0.016	 6.415	 0.060	0	XV	Sloan
     406	067.9045953	+17.7097792	106.02	 -30.18	22.20	 1.63	38.81	23.53	 0.51	 0.91	      	      	      	      	      	      	      	      	      	      	 7.726	 0.020	 7.293	 0.031	 7.170	 0.020	 7.103	 0.033	 7.145	 0.020	 7.136	 0.022	 7.223	 0.206	0	XV	Sloan
     407	067.9317842	+21.1546167	 90.06	 -29.16	18.41	 8.91	38.34	24.30	 1.89	 0.17	18.044	16.800	      	      	      	      	      	      	      	      	12.654	 0.029	12.058	 0.036	11.762	 0.026	11.558	 0.027	11.371	 0.027	10.959	 0.196	 8.610	      	0	XV	Sloan
     408	067.9656558	+15.8515594	106.35	 -32.45	22.74	 2.54	39.04	23.15	-1.13	 1.58	      	      	      	      	      	      	      	      	      	      	 5.306	 0.019	 5.227	 0.024	 5.146	 0.016	 5.094	 0.074	 4.897	 0.036	 5.189	 0.015	 5.087	 0.049	0	XV	Sloan
     409	067.9686158	+15.4994806	 97.84	 -24.71	20.72	 2.29	39.08	23.09	-0.23	 0.76	      	      	      	      	      	      	      	      	      	      	 8.667	 0.023	 8.034	 0.016	 7.895	 0.024	 7.812	 0.025	 7.888	 0.022	 7.754	 0.026	 6.992	 0.136	0	XV	Sloan
     410	068.0200361	+05.4100414	113.43	   8.55	24.01	 9.86	39.44	22.46	 0.19	 1.44	      	      	      	      	      	      	      	      	      	      	 5.593	 0.024	 5.385	 0.020	 5.333	 0.021	 5.345	 0.072	 5.104	 0.035	 5.369	 0.015	 5.336	 0.032	0	XV	Sloan
     411	068.0331836	+17.6644831	101.70	 -36.38	21.82	 1.16	38.87	23.44	-1.04	 0.35	15.888	14.660	      	      	      	      	      	      	      	      	10.898	 0.021	10.288	 0.022	 9.986	 0.018	 9.782	 0.023	 9.614	 0.021	 9.554	 0.089	 8.178	      	0	XV	Sloan
     412	068.0989867	+17.7507386	107.94	 -38.28	23.17	 3.35	38.88	23.42	-0.90	 0.34	      	      	      	      	      	      	      	      	      	      	10.753	 0.021	10.161	 0.019	 9.913	 0.017	 9.722	 0.023	 9.556	 0.021	 9.374	 0.061	 8.509	      	0	XV	Sloan
     413	068.1068917	+13.1132306	104.35	 -19.28	22.19	 3.23	39.32	22.67	-0.31	 0.78	      	      	      	      	      	      	      	      	      	      	 8.423	 0.026	 7.791	 0.033	 7.654	 0.020	 7.564	 0.026	 7.521	 0.021	 7.427	 0.018	 7.410	 0.146	0	XV	Sloan
     414	068.1207550	+17.9046303	 69.16	 -16.94	14.37	23.31	38.87	23.44	 1.57	 0.44	16.049	14.789	      	      	      	      	      	      	      	      	11.211	 0.022	10.644	 0.021	10.375	 0.018	10.207	 0.024	10.072	 0.024	 9.752	 0.082	 8.288	      	0	XV	Sloan
     415	068.1226389	+20.7355211	 79.98	 -32.69	17.01	13.02	38.47	24.08	-0.12	 0.29	17.310	16.005	17.329	 0.005	16.065	 0.004	14.311	 0.004	13.461	 0.004	11.762	 0.027	11.192	 0.030	10.890	 0.019	10.696	 0.022	10.526	 0.022	10.242	 0.094	 8.604	 0.450	0	XV	Sloan
     416	068.1577289	+19.0467069	114.90	 -46.10	24.78	 6.28	38.73	23.66	-1.01	 0.30	15.683	14.462	      	      	      	      	      	      	      	      	10.794	 0.027	10.177	 0.034	 9.979	 0.019	 9.757	 0.022	 9.600	 0.021	 9.474	 0.056	 8.023	      	0	XV	Sloan
     417	068.1706078	+19.1134817	 93.58	 -36.66	20.12	 4.02	38.73	23.67	-0.77	 0.78	      	      	      	      	      	      	      	      	      	      	 8.569	 0.024	 8.032	 0.042	 7.898	 0.034	 7.818	 0.023	 7.903	 0.020	 7.834	 0.020	 7.646	 0.199	0	XV	Sloan
     418	068.1888758	+25.0927694	 88.57	 -45.27	18.65	10.34	37.70	25.27	 0.45	 0.22	17.427	16.155	17.382	 0.005	16.169	 0.004	14.495	 0.004	13.741	 0.004	12.075	 0.021	11.465	 0.022	11.205	 0.021	11.052	 0.023	10.839	 0.022	10.943	 0.214	 8.254	      	0	XV	Sloan
     419	068.1891931	+12.0666764	103.76	 -16.16	22.11	 3.97	39.42	22.51	-0.37	 0.34	15.577	14.408	      	      	      	      	      	      	      	      	10.846	 0.021	10.227	 0.018	 9.989	 0.019	 9.828	 0.023	 9.681	 0.021	 9.485	 0.043	 8.499	      	0	XV	Sloan
     420	068.2087931	+16.0058178	101.72	 -28.54	21.75	 1.09	39.12	23.02	-0.43	 1.05	      	      	      	      	      	      	      	      	      	      	 7.285	 0.021	 6.859	 0.016	 6.770	 0.016	 6.710	 0.038	 6.739	 0.021	 6.730	 0.016	 6.621	 0.072	0	XV	Sloan
     421	068.2477103	+15.8189728	 98.76	 -23.77	20.97	 1.79	39.15	22.97	 0.31	 1.02	      	      	      	      	      	      	      	      	      	      	 7.323	 0.019	 7.017	 0.020	 6.941	 0.026	 6.906	 0.034	 6.937	 0.019	 6.938	 0.017	 6.991	 0.137	0	XV	Sloan
     422	068.2709242	+23.5550369	 93.34	 -45.35	19.86	 7.08	38.04	24.77	 0.09	 0.26	17.182	15.890	      	      	      	      	      	      	      	      	11.652	 0.021	11.016	 0.021	10.758	 0.018	10.546	 0.023	10.390	 0.019	10.262	 0.120	 8.472	      	0	XV	Sloan
     423	068.3132147	-03.7911283	 79.79	  23.26	16.72	23.12	38.81	23.53	-1.27	 0.20	18.155	16.877	      	      	      	      	      	      	      	      	12.535	 0.026	11.970	 0.026	11.621	 0.028	11.430	 0.023	11.258	 0.022	11.239	 0.131	 9.044	      	0	XV	Sloan
     424	068.3287633	+49.8613072	 78.47	-108.93	18.31	29.89	29.28	34.68	-2.44	 0.80	      	      	      	      	      	      	      	      	      	      	 8.749	 0.041	 8.142	 0.057	 7.992	 0.021	 7.921	 0.022	 7.990	 0.018	 7.922	 0.018	 7.765	 0.145	0	XV	Sloan
     425	068.3490767	+23.9908308	 96.65	 -52.36	20.96	 6.21	37.98	24.85	-0.72	 0.72	13.237	      	      	      	      	      	      	      	      	      	 8.914	 0.020	 8.242	 0.027	 8.028	 0.026	 7.901	 0.023	 7.809	 0.019	 7.734	 0.021	 7.502	 0.193	0	XV	Sloan
     426	068.3625206	+13.0454967	109.88	 -30.45	23.90	 5.39	39.42	22.50	-2.28	 0.51	13.894	12.733	      	      	      	      	      	      	      	      	 9.683	 0.021	 9.069	 0.022	 8.822	 0.019	 8.709	 0.023	 8.637	 0.021	 8.517	 0.028	 8.475	 0.436	0	XV	Sloan
     427	068.3976856	+11.9928181	 69.73	 -17.78	15.16	20.19	39.50	22.36	-2.52	 0.37	16.344	14.943	      	      	      	      	      	      	      	      	11.505	 0.022	10.932	 0.023	10.647	 0.018	10.460	 0.022	10.352	 0.020	10.080	 0.099	 8.398	      	0	XV	Sloan
     428	068.4049206	+21.1508533	108.93	 -45.20	23.27	 4.91	38.51	24.02	 0.12	 0.75	      	      	      	      	      	      	      	      	      	      	 8.427	 0.023	 7.835	 0.020	 7.686	 0.026	 7.632	 0.025	 7.713	 0.021	 7.653	 0.020	 7.769	 0.202	0	XV	Sloan
     429	068.4081878	+16.7624997	 96.08	 -24.57	20.40	 2.87	39.11	23.03	 0.66	 0.91	      	      	      	      	      	      	      	      	      	      	 7.839	 0.021	 7.420	 0.026	 7.351	 0.024	 7.300	 0.028	 7.342	 0.022	 7.316	 0.017	 7.222	 0.134	0	XV	Sloan
     430	068.4247056	+19.0140314	103.55	 -34.95	22.05	 2.31	38.84	23.49	 0.38	 0.74	      	      	      	      	      	      	      	      	      	      	 8.535	 0.021	 7.977	 0.020	 7.820	 0.023	 7.752	 0.024	 7.838	 0.019	 7.772	 0.022	 7.769	 0.200	0	XV	Sloan
     431	068.4283892	+18.7664433	112.74	 -42.85	24.39	 5.64	38.87	23.43	-0.66	 0.30	16.025	14.751	      	      	      	      	      	      	      	      	10.907	 0.020	10.321	 0.021	10.046	 0.020	 9.867	 0.023	 9.693	 0.021	 9.619	 0.056	 8.654	      	0	XV	Sloan
     432	068.4443422	+13.2518836	102.85	 -17.81	22.02	 3.09	39.44	22.47	 0.11	 1.42	      	      	      	      	      	      	      	      	      	      	 5.759	 0.020	 5.612	 0.018	 5.558	 0.023	 5.549	 0.062	 5.409	 0.030	 5.612	 0.014	 5.549	 0.047	0	XV	Sloan
     433	068.4621564	+14.8444231	103.22	 -26.49	22.27	 2.31	39.32	22.67	-0.62	 2.11	      	      	      	      	      	      	      	      	      	      	 4.311	 0.262	 4.288	 0.228	 4.074	 0.036	 4.023	 0.110	 3.621	 0.054	 4.102	 0.014	 4.056	 0.027	0	XV	Sloan
     434	068.4810817	+18.3807533	103.87	 -35.95	22.35	 2.31	38.94	23.32	-0.18	 0.20	17.158	15.875	17.140	 0.005	15.873	 0.004	14.250	 0.003	13.492	 0.004	11.849	 0.020	11.241	 0.023	10.966	 0.018	10.791	 0.023	10.603	 0.023	10.812	 0.155	 8.505	      	0	XV	Sloan
     435	068.4863183	+16.8690622	 98.81	 -22.96	20.87	 1.91	39.13	23.00	 1.26	 0.37	15.672	14.761	      	      	      	      	      	      	      	      	10.859	 0.020	10.229	 0.022	 9.962	 0.019	 9.820	 0.023	 9.674	 0.022	 9.643	 0.061	 8.745	      	0	XV	Sloan
     436	068.4939083	+15.1636186	102.03	 -34.82	22.41	 2.36	39.30	22.70	-2.17	 1.02	      	      	      	      	      	      	      	      	      	      	 6.989	 0.026	 6.576	 0.024	 6.465	 0.024	 6.437	 0.044	 6.473	 0.021	 6.480	 0.017	 6.504	 0.085	0	XV	Sloan
     437	068.5221322	+14.2175461	 79.84	 -15.16	17.09	12.46	39.40	22.54	 0.41	 0.66	      	      	      	      	      	      	      	      	      	      	 9.531	 0.021	 8.861	 0.033	 8.690	 0.018	 8.591	 0.023	 8.627	 0.021	 8.462	 0.032	 8.109	 0.303	0	XV	Sloan
     438	068.5464525	+11.5579197	 90.10	 -19.41	19.59	 6.54	39.58	22.22	-1.93	 0.75	12.979	      	      	      	      	      	      	      	      	      	 8.890	 0.023	 8.300	 0.046	 8.059	 0.029	 7.929	 0.023	 7.938	 0.020	 7.884	 0.028	 7.599	      	0	XV	Sloan
     439	068.6340000	+15.8275561	 86.81	 -20.40	18.60	 7.58	39.29	22.72	 0.54	 0.91	      	      	      	      	      	      	      	      	      	      	 8.061	 0.021	 7.670	 0.023	 7.553	 0.026	 7.505	 0.027	 7.562	 0.020	 7.504	 0.021	 7.481	 0.153	0	XV	Sloan
     440	068.6471217	+15.5046189	100.02	 -28.37	21.74	 1.57	39.33	22.66	-0.70	 1.14	      	      	      	      	      	      	      	      	      	      	 6.745	 0.018	 6.552	 0.031	 6.445	 0.026	 6.397	 0.042	 6.446	 0.020	 6.463	 0.016	 6.367	 0.060	0	XV	Sloan
     441	068.6628583	+06.6338956	 72.07	   5.97	15.58	20.32	39.71	21.98	 1.19	 0.31	      	15.355	      	      	      	      	      	      	      	      	11.725	 0.021	11.174	 0.030	10.930	 0.021	10.693	 0.023	10.526	 0.022	10.611	 0.109	 8.958	      	0	XV	Sloan
     442	068.6664008	+15.2090525	100.65	 -31.54	22.08	 2.00	39.36	22.60	-1.51	 0.65	      	      	      	      	      	      	      	      	      	      	 9.042	 0.030	 8.410	 0.021	 8.235	 0.021	 8.078	 0.023	 8.045	 0.019	 7.924	 0.023	 7.478	 0.155	0	XV	Sloan
     443	068.7087233	+20.3945906	 98.46	 -39.26	21.24	 3.33	38.74	23.65	 0.09	 0.74	14.246	      	      	      	      	      	      	      	      	      	 8.654	 0.029	 8.030	 0.023	 7.914	 0.024	 7.764	 0.024	 7.816	 0.022	 7.751	 0.022	 7.536	 0.169	0	XV	Sloan
     444	068.7606264	+08.6584900	 87.21	  -3.90	18.88	 9.71	39.75	21.91	-0.19	 0.79	12.809	13.785	      	      	      	      	      	      	      	      	 8.828	 0.021	 8.142	 0.021	 7.973	 0.020	 7.883	 0.023	 7.874	 0.020	 7.795	 0.022	 7.721	 0.143	0	XV	Sloan
     445	068.7637819	+24.8540392	 65.03	 -48.85	15.32	20.55	37.95	24.89	-3.73	 0.49	15.139	13.970	      	      	      	      	      	      	      	      	10.790	 0.021	10.185	 0.022	 9.923	 0.020	 9.762	 0.024	 9.690	 0.022	 9.720	 0.061	 8.848	      	0	XV	Sloan
     446	068.7732069	+13.1736758	102.24	 -14.72	22.01	 3.23	39.57	22.24	 0.75	 0.37	15.595	14.483	      	      	      	      	      	      	      	      	10.675	 0.021	10.100	 0.022	 9.825	 0.018	 9.692	 0.023	 9.545	 0.021	 9.358	 0.047	 7.811	      	0	XV	Sloan
     447	068.8048961	+22.9890247	 93.85	 -47.83	20.54	 5.86	38.33	24.31	-0.48	 0.33	16.687	15.394	      	      	      	      	      	      	      	      	11.127	 0.022	10.530	 0.021	10.250	 0.018	10.085	 0.023	 9.906	 0.021	 9.772	 0.065	 8.381	 0.397	0	XV	Sloan
     448	068.8527483	+10.7479361	109.16	  -8.60	23.64	 6.26	39.73	21.95	 0.52	 0.27	16.622	      	      	      	      	      	      	      	      	      	11.179	 0.026	10.547	 0.032	10.282	 0.019	10.090	 0.024	 9.907	 0.021	 9.747	 0.067	 8.691	 0.406	0	XV	Sloan
     449	068.8685036	+15.3992636	 95.15	 -30.23	20.99	 2.18	39.42	22.50	-1.41	 0.29	16.707	15.439	      	      	      	      	      	      	      	      	11.320	 0.022	10.721	 0.022	10.438	 0.018	10.236	 0.023	10.048	 0.021	 9.951	 0.070	 8.029	      	0	XV	Sloan
     450	068.8886761	+13.4276128	 61.16	 -13.87	13.39	28.63	39.59	22.19	-0.83	 0.38	16.357	15.166	      	      	      	      	      	      	      	      	11.726	 0.021	11.133	 0.020	10.874	 0.020	10.688	 0.023	10.534	 0.023	10.452	 0.115	 8.465	      	0	XV	Sloan
     451	068.9521283	+13.2880611	 86.74	 -20.24	19.05	 6.99	39.63	22.13	-1.05	 0.42	      	14.338	      	      	      	      	      	      	      	      	10.731	 0.022	10.108	 0.022	 9.867	 0.018	 9.727	 0.023	 9.569	 0.021	 9.559	 0.050	 8.495	      	0	XV	Sloan
     452	068.9667292	+19.7958419	 95.69	 -38.86	20.96	 3.22	38.92	23.35	-0.34	 0.38	15.855	14.581	      	      	      	      	      	      	      	      	10.733	 0.022	10.136	 0.022	 9.862	 0.020	 9.689	 0.023	 9.540	 0.021	 9.365	 0.053	 8.718	      	0	XV	Sloan
     453	069.0003658	+16.5407681	 88.96	 -27.47	19.51	 5.16	39.35	22.62	-0.44	 0.86	      	      	      	      	      	      	      	      	      	      	 8.358	 0.058	 7.822	 0.024	 7.627	 0.026	      	      	      	      	      	      	      	      	0	XV	Sloan
     454	069.0173856	+18.8885625	 87.80	 -37.15	19.53	 5.42	39.07	23.10	-1.23	 0.57	14.153	13.643	      	      	      	      	      	      	      	      	 9.772	 0.022	 9.148	 0.027	 8.918	 0.023	 8.762	 0.023	 8.657	 0.021	 8.655	 0.033	 8.432	      	0	XV	Sloan
     455	069.0219297	+15.6840086	 90.71	 -24.15	19.82	 4.48	39.45	22.45	-0.11	 0.92	      	      	      	      	      	      	      	      	      	      	 7.860	 0.018	 7.505	 0.021	 7.373	 0.015	 7.322	 0.028	 7.396	 0.020	 7.368	 0.019	 7.375	 0.152	0	XV	Sloan
